STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,MTD-PRCP-NORMAL,MTD-SNOW-NORMAL,YTD-PRCP-NORMAL,YTD-SNOW-NORMAL,DLY-TAVG-NORMAL,DLY-DUTR-NORMAL,DLY-TMAX-NORMAL,DLY-TMIN-NORMAL,DLY-TAVG-STDDEV
GHCND:RQC00668306,RIO PIEDRAS EXPERIMENTAL STATION US,28,18.39056,-66.05417,20100419,3.44,0.0,14.94,0.0,78.0,17.9,86.9,69.0,2.1
GHCND:RQC00668306,RIO PIEDRAS EXPERIMENTAL STATION US,28,18.39056,-66.05417,20100420,3.64,0.0,15.14,0.0,78.0,17.8,86.9,69.1,2.1
GHCND:RQC00668306,RIO PIEDRAS EXPERIMENTAL STATION US,28,18.39056,-66.05417,20100421,3.83,0.0,15.33,0.0,78.1,17.8,87.0,69.2,2.2
GHCND:RQC00668306,RIO PIEDRAS EXPERIMENTAL STATION US,28,18.39056,-66.05417,20100422,4.03,0.0,15.53,0.0,78.1,17.7,87.0,69.3,2.2
GHCND:RQC00668306,RIO PIEDRAS EXPERIMENTAL STATION US,28,18.39056,-66.05417,20100423,4.23,0.0,15.73,0.0,78.2,17.6,87.0,69.4,2.2
GHCND:RQC00668306,RIO PIEDRAS EXPERIMENTAL STATION US,28,18.39056,-66.05417,20100424,4.44,0.0,15.94,0.0,78.3,17.5,87.0,69.5,2.2
GHCND:RQC00668306,RIO PIEDRAS EXPERIMENTAL STATION US,28,18.39056,-66.05417,20100425,4.66,0.0,16.16,0.0,78.3,17.5,87.1,69.6,2.2
GHCND:RQC00668306,RIO PIEDRAS EXPERIMENTAL STATION US,28,18.39056,-66.05417,20100426,4.89,0.0,16.39,0.0,78.4,17.4,87.1,69.7,2.2
GHCND:RQC00668306,RIO PIEDRAS EXPERIMENTAL STATION US,28,18.39056,-66.05417,20100427,5.11,0.0,16.61,0.0,78.5,17.3,87.1,69.8,2.2
GHCND:RQC00668306,RIO PIEDRAS EXPERIMENTAL STATION US,28,18.39056,-66.05417,20100428,5.34,0.0,16.84,0.0,78.5,17.3,87.2,69.9,2.2
